"filename", "language", "YAML", "Java Properties", "Groovy", "Dart", "C++", "Objective-C", "XML", "Markdown", "JSON", "Java", "comment", "blank", "total"
"d:\CODE_Android\group\ssbaz\app_shop\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"d:\CODE_Android\group\ssbaz\app_shop\android\app\build.gradle", "Groovy", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 5, 12, 70
"d:\CODE_Android\group\ssbaz\app_shop\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"d:\CODE_Android\group\ssbaz\app_shop\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 6, 2, 43
"d:\CODE_Android\group\ssbaz\app_shop\android\app\src\main\java\com\example\app_shop\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 73, 9, 151
"d:\CODE_Android\group\ssbaz\app_shop\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\CODE_Android\group\ssbaz\app_shop\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\CODE_Android\group\ssbaz\app_shop\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\CODE_Android\group\ssbaz\app_shop\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\CODE_Android\group\ssbaz\app_shop\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 1, 16
"d:\CODE_Android\group\ssbaz\app_shop\android\build.gradle", "Groovy", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\CODE_Android\group\ssbaz\app_shop\android\gradle.properties", "Java Properties", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\CODE_Android\group\ssbaz\app_shop\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"d:\CODE_Android\group\ssbaz\app_shop\android\settings.gradle", "Groovy", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\CODE_Android\group\ssbaz\app_shop\ios\Runner\AppDelegate.h", "C++", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 7
"d:\CODE_Android\group\ssbaz\app_shop\ios\Runner\AppDelegate.m", "Objective-C", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 4, 14
"d:\CODE_Android\group\ssbaz\app_shop\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 1, 123
"d:\CODE_Android\group\ssbaz\app_shop\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"d:\CODE_Android\group\ssbaz\app_shop\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"d:\CODE_Android\group\ssbaz\app_shop\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"d:\CODE_Android\group\ssbaz\app_shop\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"d:\CODE_Android\group\ssbaz\app_shop\ios\Runner\main.m", "Objective-C", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\CODE_Android\group\ssbaz\app_shop\lib\Route.dart", "Dart", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 3, 6, 59
"d:\CODE_Android\group\ssbaz\app_shop\lib\host.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CODE_Android\group\ssbaz\app_shop\lib\main.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\login\ForgetPwdPage.dart", "Dart", 0, 0, 0, 386, 0, 0, 0, 0, 0, 0, 0, 20, 406
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\login\LoginPage.dart", "Dart", 0, 0, 0, 279, 0, 0, 0, 0, 0, 0, 1, 20, 300
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\login\RegisterPage.dart", "Dart", 0, 0, 0, 371, 0, 0, 0, 0, 0, 0, 1, 15, 387
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\login\UserAgreementPage.dart", "Dart", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 2, 107
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs.dart", "Dart", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 2, 14, 97
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\Home\home.dart", "Dart", 0, 0, 0, 387, 0, 0, 0, 0, 0, 0, 11, 30, 428
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\Home\jump.dart", "Dart", 0, 0, 0, 472, 0, 0, 0, 0, 0, 0, 4, 44, 520
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\Home\like.dart", "Dart", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 4, 24, 239
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\Home\search_jump.dart", "Dart", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 5, 13, 132
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\manage\apply.dart", "Dart", 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 20, 259
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\manage\body.dart", "Dart", 0, 0, 0, 185, 0, 0, 0, 0, 0, 0, 1, 19, 205
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\manage\cropImage.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 7, 60
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\manage\delete.dart", "Dart", 0, 0, 0, 273, 0, 0, 0, 0, 0, 0, 12, 20, 305
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\manage\edit.dart", "Dart", 0, 0, 0, 721, 0, 0, 0, 0, 0, 0, 8, 38, 767
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\manage\main.dart", "Dart", 0, 0, 0, 724, 0, 0, 0, 0, 0, 0, 8, 38, 770
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\manage\manage.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 8, 21
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\manage\manageHome.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 6, 63
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\tabs\manage\search_list.dart", "Dart", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 11, 186
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\user\EditHeadPortraitPage.dart", "Dart", 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 2, 17, 258
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\user\EditIcon.dart", "Dart", 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 2, 28, 254
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\user\EditPwdPage.dart", "Dart", 0, 0, 0, 279, 0, 0, 0, 0, 0, 0, 6, 16, 301
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\user\UserInfoPage.dart", "Dart", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 5, 12, 117
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\user\UserPage.dart", "Dart", 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 10, 23, 239
"d:\CODE_Android\group\ssbaz\app_shop\lib\pages\user\UserSettingsPage.dart", "Dart", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 2, 11, 159
"d:\CODE_Android\group\ssbaz\app_shop\pubspec.yaml", "YAML", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 21, 116
"d:\CODE_Android\group\ssbaz\app_shop\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 48, 8, 88, 6139, 4, 17, 138, 3, 145, 69, 297, 555, 7511
